"Tempratuur afgerond op hele normale aantallen KNMI";"Tempratuur in de Kas";"outside Luchtvochtigheid - % - 1 uur";"Plant Straling Par";"prediction(Tempratuur in de Kas)"
15.1;19.8;90;5;18.683371949744686
15.2;20.1;95;5;18.436246213637578
15.8;21.1;96;5;18.50164079734803
18.3;21.2;98;34;19.183759511928518
20.1;22.0;98;98;20.18886897278914
20.6;23.3;95;188;21.360340982410282
19.9;23.7;92;210;21.604934290365218
21.5;24.4;89;304;23.034716131454324
21.1;24.4;83;241;22.637201503186088
19.2;24.6;85;60;20.319489660897204
17.6;23.5;89;6;19.24180609956078
17.3;22.7;92;6;19.022263238697423
17.3;21.5;95;6;18.86210989383331
17.4;20.3;96;5;18.81838488267734
17.6;19.5;96;5;18.857977893343502
17.5;19.1;94;5;18.944950284586493
17.3;18.9;92;5;19.012126170496405
17.3;19.1;90;5;19.11889506707248
17.4;19.5;80;5;19.672536055285935
17.6;19.7;85;5;19.44520682451191
19.3;23.4;84;34;20.129106841291858
18.8;24.4;85;170;21.355381141676858
18.5;25.9;84;259;22.251575143856254
18.7;25.1;80;304;22.960874016720375
19.3;24.4;81;283;22.81339016820945
19.8;24.5;82;436;24.409959681342574
18.1;25.0;87;25;19.6401618186216
17.9;23.3;90;6;19.247811167271987
17.4;21.6;91;6;19.095444192318542
17.2;20.4;92;6;19.002466733364344
16.6;19.7;93;5;18.820166184876793
15.8;19.2;94;5;18.608409693924106
15.7;18.4;96;5;18.48184429201495
15.2;17.6;99;5;18.22270842048543
14.7;18.8;100;5;18.070341445531984
13.9;19.6;100;5;17.91196940286733
13.8;20.6;98;6;18.009078862311345
15.7;22.4;95;139;19.8935958792394
17.1;24.7;86;524;24.553978245886807
17.4;25.2;81;487;24.505218479888573
17.8;25.0;69;380;24.140351583168417
17.9;25.9;60;357;24.40745555447042
17.5;25.6;61;161;22.288019717450528
17.6;24.5;62;48;21.10894306778054
17.5;22.9;59;6;20.823543042868813
17.5;21.5;64;6;20.55662080142863
17.6;20.1;88;5;19.2850534796478
17.3;19.2;94;5;18.90535727392033
17.1;19.0;94;5;18.865764263254167
16.9;18.8;95;5;18.772786804299965
17.0;18.7;94;6;18.856104826122106
17.2;19.2;93;5;18.938945216875286
17.9;19.2;94;5;19.02413630591882
19.2;21.6;92;5;19.388259771824956
20.5;22.2;91;29;19.942288426267485
19.9;24.8;87;372;23.514061580370317
18.4;23.3;88;222;21.643169321933357
18.2;24.0;87;418;23.64382612695476
18.4;23.5;84;28;19.890115884088015
14.5;21.5;87;6;18.73488333081132
14.5;20.1;83;6;18.94842112396347
14.0;19.6;87;5;18.625763735944897
13.8;19.4;91;5;18.372632932126585
13.7;19.2;93;5;18.246067530217427
13.6;18.9;95;5;18.119502128308273
13.4;18.7;96;5;18.026524669354075
13.0;18.5;97;5;17.893954199733706
12.7;19.2;98;5;17.781180235446428
12.9;19.3;98;5;17.82077324611259
12.8;20.3;98;5;17.800976740779507
13.0;22.2;98;6;17.85070681964669
13.9;20.9;99;9;18.005902123959437
13.4;21.6;100;56;18.329977354453842
13.3;22.2;100;49;18.239221371713633
12.9;23.1;100;33;17.99784225916502
12.4;24.0;100;143;19.01393723461159
11.8;25.1;100;67;18.124741019335733
12.2;25.7;100;18;17.707210698818177
12.4;26.0;100;6;17.625158891072125
11.8;19.8;97;6;17.666533203937746
11.6;19.4;97;5;17.616803125070565
11.5;18.9;96;5;17.65039106802552
11.8;18.9;97;6;17.666533203937746
8.5;18.9;98;5;16.949727011457
10.6;19.4;100;5;17.25868472687564
10.5;19.2;100;5;17.238888221542556
10.2;20.2;99;5;17.23288315383135
9.2;21.4;95;34;17.5424308714822
10.7;23.5;80;290;21.235234635259594
10.7;24.0;72;74;19.472703490144003
10.8;24.9;96;17;17.633460349106166
10.7;27.3;95;306;20.596661002155322
10.6;25.6;93;6;17.642512933092917
10.4;23.8;100;6;17.229228784410495
8.6;20.9;95;6;17.139813929855208
9.2;20.1;95;5;17.24845589365268
9.4;19.4;95;5;17.288048904318842
9.4;18.6;99;5;17.074511111166693
9.2;18.5;98;5;17.08830254878857
9.1;17.4;90;5;17.495581629759787
8.5;16.9;68;5;18.551260460098117
9.8;16.7;68;5;18.80861502942818
9.0;18.1;66;5;18.757011883339597
9.9;18.7;65;5;18.98856487962537
11.2;20.3;69;279;21.809938342882212
13.6;21.9;65;416;23.88737060756779
13.7;23.1;61;580;25.78318409101997
13.5;24.2;58;760;27.72841670140116
13.4;24.7;63;423;24.025505970884826
12.8;24.2;59;559;25.49890600737693
12.0;25.2;60;482;24.506595264945854
9.8;26.5;54;308;22.627528970369152
9.6;24.2;54;6;19.52654136299555
8.1;20.7;55;6;19.17620933471129
8.4;17.8;57;5;19.11869288593344
8.5;17.3;54;5;19.29864273613064
8.7;16.8;67;5;18.644237919052316
8.6;16.5;63;5;18.83797920687138
8.3;16.6;64;5;18.725205242584103
7.7;18.3;84;5;17.538737244824866
9.1;20.0;63;61;19.5046375527938
10.7;22.1;81;287;21.1514389823685
11.2;20.5;73;303;21.839690186554495
12.4;20.7;80;338;22.058354499570846
13.0;22.6;72;372;22.948869436708243
13.2;23.4;77;443;23.441272048206496
12.0;23.9;61;407;23.692930701581467
10.9;27.0;53;487;24.713210185303307
9.6;26.6;57;302;22.366960205632765
9.1;24.7;62;6;19.000483250025848
8.5;23.9;66;6;18.66816642487521
7.8;20.7;63;6;18.689744232407747
7.4;18.8;78;5;17.799654418553846
7.2;17.8;87;5;17.279601373295346
7.1;17.5;90;5;17.099651523098153
7.1;17.1;92;5;16.99288262652208
7.0;16.9;92;5;16.973086121189
7.0;16.8;89;5;17.13323946605311
7.1;16.9;92;5;16.99288262652208
7.1;18.2;94;5;16.886113729946004
8.0;19.7;94;61;17.631958097200748
